schemaname,tablename,policyname,qual,with_check
public,migration_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = migration_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,nutritional_garden,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = nutritional_garden.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,pension_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pension_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,pm_kisan_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,pm_kisan_samman_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = pm_kisan_samman_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,ration_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ration_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,samagra_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,shg_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = shg_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,social_consciousness,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = social_consciousness.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,training_data,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_data.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,transport_facilities,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = transport_facilities.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,tribal_questions,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_questions.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,tribal_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,tulsi_plants,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tulsi_plants.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,vb_gram_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = vb_gram_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,widow_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = widow_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,training_needs,Training needs - Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_needs.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_needs.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,family_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,family_id,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,aadhaar_info,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_info.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_info.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,ayushman_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,samagra_id,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,village_infrastructure,Village infrastructure - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_infrastructure.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_infrastructure_details,Village infrastructure details - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_infrastructure_details.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_survey_details,Village survey details - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_survey_details.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_map_points,Village map points - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_map_points.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_forest_maps,Village forest maps - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_forest_maps.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_cadastral_maps,Village cadastral maps - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_cadastral_maps.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_population,Village population - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_population.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_farm_families,Village farm - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_farm_families.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_housing,Village housing - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_housing.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_agricultural_implements,Village implements - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_agricultural_implements.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_crop_productivity,Village crop - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_crop_productivity.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_animals,Village animals - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_animals.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_irrigation_facilities,Village irrigation - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_irrigation_facilities.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_drinking_water,Village water - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_drinking_water.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_transport,Village transport - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_transport.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_entertainment,Village entertainment - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_entertainment.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_medical_treatment,Village medical - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_medical_treatment.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_disputes,Village disputes - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_disputes.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_educational_facilities,Village education - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_educational_facilities.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_social_consciousness,Village social - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_social_consciousness.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_children_data,Village children - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_children_data.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_malnutrition_data,Village malnutrition - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_malnutrition_data.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_bpl_families,Village BPL - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_bpl_families.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_kitchen_gardens,Village gardens - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_kitchen_gardens.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_seed_clubs,Village seed clubs - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_seed_clubs.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_biodiversity_register,Village biodiversity - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_biodiversity_register.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_traditional_occupations,Village occupations - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_traditional_occupations.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_drainage_waste,Village drainage - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_drainage_waste.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_signboards,Village signboards - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_signboards.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_unemployment,Village unemployment - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_unemployment.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_social_maps,Village social maps - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_social_maps.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
public,village_transport_facilities,Village transport facilities - Users access own data,"(EXISTS ( SELECT 1
   FROM village_survey_sessions
  WHERE ((village_survey_sessions.session_id = village_transport_facilities.session_id) AND (village_survey_sessions.surveyor_email = (auth.jwt() ->> 'email'::text)))))",""
