schemaname,tablename,policyname,qual,with_check,has_f_compare,has_tablename_phone_ref
public,tribal_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tribal_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,tulsi_plants,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = tulsi_plants.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,vb_gram_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = vb_gram_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,widow_scheme_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = widow_scheme_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","",1,1
public,vb_gram,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,pension_allowance,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,widow_allowance,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,handicapped_allowance,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,training_needs,Training needs - Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_needs.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = training_needs.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,1
public,family_members,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_members.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,1
public,family_id,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = family_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,1
public,aadhaar_info,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_info.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = aadhaar_info.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,1
public,ayushman_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = ayushman_card.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,1
public,samagra_id,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = samagra_id.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,1
public,bank_accounts,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,tribal_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,merged_govt_schemes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,pm_kisan_nidhi,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,ration_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
public,pm_kisan_samman_nidhi,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))",1,0
